"b'""literal"""	"""predicate_id"""	"""object_id"""	"""mapping_justification"""	"""mapping_provider"""	"""author_label"""	"""mapping_date"""
"""cortical neural progenitor cell"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0000956"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""left lateral temporal cortex"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0016538"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""CD4+ T cell"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0000624"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""CD45-negative"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0002371"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""monocyte"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0000576"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""Mature kidney"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0002113"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""Medulla"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0000362"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""skin of body"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0002097"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""heart"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0000948"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""T CD8"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/CL_0000625"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""gastrocnemius"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0001388"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""Normal control"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/PATO_0000461"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""C57BL/6"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://www.ebi.ac.uk/efo/EFO_0005181"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
"""juvenile"""	"""http://www.w3.org/2000/01/rdf-schema#label"""	"""http://purl.obolibrary.org/obo/UBERON_0034919"""	"""https://w3id.org/semapv/vocab/ManualMappingCuration"""	"""https://www.ebi.ac.uk/about/collaborations/human-cell-atlas"""		
